day,date,venue,match_number,age_group,time,play_off,game,umpire
Day 1,28 June 2026,WOODRIDGE,1,14,08h00 – 08h55,,BORDER INLAND vs BOLAND B,
Day 1,28 June 2026,WOODRIDGE,2,14,09h00 – 09h55,,BOLAND C vs WESTERN PROVINCE,
Day 1,28 June 2026,WOODRIDGE,3,14,10h00 – 10h55,,NORTHERN CAPE B vs SFS B,
Day 1,28 June 2026,WOODRIDGE,4,14,11h00 – 11h55,,EASTERN PROVINCE B vs EDEN B,
Day 1,28 June 2026,WOODRIDGE,,,12h00 – 12h55,,LUNCH BREAK,
Day 1,28 June 2026,WOODRIDGE,5,16,13h00 – 13h55,,BORDER INLAND vs BOLAND B,
Day 1,28 June 2026,WOODRIDGE,6,16,14h00 – 14h55,,BOLAND C vs BOLAND D,
Day 1,28 June 2026,WOODRIDGE,7,16,15h00 – 15h55,,NORTHERN CAPE B vs SFS C,
Day 1,28 June 2026,WOODRIDGE,8,16,16h00 – 16h55,,EASTERN PROVINCE C vs EDEN B,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,9,16,08h00 – 08h55,,BORDER INLAND vs BOLAND D,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,10,16,09h00 – 09h55,,BOLAND B vs BOLAND C,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,11,16,10h00 – 10h55,,NORTHERN CAPE B vs EDEN B,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,12,16,11h00 – 11h55,,EASTERN PROVINCE C vs SFS C,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,,,12h00 – 12h55,,LUNCH BREAK,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,13,14,13h00 – 13h55,,BORDER INLAND vs WP B,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,14,14,14h00 – 14h55,,BOLAND B vs BOLAND C,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,15,14,15h00 – 15h55,,NORTHERN CAPE B C vs EDEN B,
Day 1,28 June 2026,WESTERING HIGH SCHOOL,16,14,16h00 – 16h55,,SFS B vs EASTERN PROVINCE B,
Day 1,28 June 2026,VICTORIA PARK HIGH,17,18,09h00 – 09h55,,BORDER INLAND vs EP B,
Day 1,28 June 2026,VICTORIA PARK HIGH,18,18,10h00 – 10h55,,BOLAND B vs EDEN B,
Day 1,28 June 2026,VICTORIA PARK HIGH,19,18,11h00 – 11h55,,N CAPE B vs SFS C,
Day 1,28 June 2026,VICTORIA PARK HIGH,,,12h00 – 12h55,,LUNCH BREAK,
Day 1,28 June 2026,VICTORIA PARK HIGH,20,18,13h00 – 13h55,,BORDER INLAND vs BOLAND B,
Day 1,28 June 2026,VICTORIA PARK HIGH,21,18,14h00 – 14h55,,SFS C vs EDEN B,
Day 1,28 June 2026,VICTORIA PARK HIGH,22,18,15h00 – 15h55,,N CAPE B vs EP B,
Day 2,29 June 2026,WOODRIDGE COLLEGE,23,16,08h00 – 08h55,,BORDER INLAND vs EDEN B,
Day 2,29 June 2026,WOODRIDGE COLLEGE,24,16,09h00 – 09h55,,BOLAND C vs SFS C,
Day 2,29 June 2026,WOODRIDGE COLLEGE,25,16,10h00 – 10h55,,BOLAND D vs NORTHERN CAPE B,
Day 2,29 June 2026,WOODRIDGE COLLEGE,26,16,11h00 – 11h55,,EASTERN PROVINCE C vs BOLAND B,
Day 2,29 June 2026,WOODRIDGE COLLEGE,,,12h00 – 12h55,,LUNCH BREAK,
Day 2,29 June 2026,WOODRIDGE COLLEGE,27,18,13h00 – 13h55,,N CAPE B vs EDEN B,
Day 2,29 June 2026,WOODRIDGE COLLEGE,28,18,14h00 – 14h55,,BOLAND B vs EP B,
Day 2,29 June 2026,WOODRIDGE COLLEGE,29,18,15h00 – 15h55,,BORDER INLAND vs SFS C,
Day 2,29 June 2026,WOODRIDGE COLLEGE,,,16h00 – 16h55,,,
Day 2,29 June 2026,WESTERING HIGH SCHOOL,,,08h00 – 08h55,,,
Day 2,29 June 2026,WESTERING HIGH SCHOOL,30,18,09h00 – 09h55,,N CAPE B vs BOLAND B,
Day 2,29 June 2026,WESTERING HIGH SCHOOL,31,18,10h00 – 10h55,,BORDER INLAND vs EDEN B,
Day 2,29 June 2026,WESTERING HIGH SCHOOL,32,18,11h00 – 11h55,,SFS C vs EP B,
Day 2,29 June 2026,WESTERING HIGH SCHOOL,,,12h00 – 12h55,,LUNCH BREAK,
