age_group,pool,team
BOYS UNDER 14,POOL A,BORDER
BOYS UNDER 14,POOL B,BOLAND B
BOYS UNDER 16,POOL A,BORDER
BOYS UNDER 16,POOL B,BOLAND B
BOYS UNDER 18,SINGLE POOL,BOLAND B
BOYS UNDER 14,POOL A,BOLAND C
BOYS UNDER 14,POOL B,WP B
BOYS UNDER 16,POOL A,BOLAND C
BOYS UNDER 16,POOL B,BOLAND D
BOYS UNDER 18,SINGLE POOL,NORTHERN CAPE B
BOYS UNDER 14,POOL A,N CAPE B
BOYS UNDER 14,POOL B,SFS B
BOYS UNDER 16,POOL A,N CAPE B
BOYS UNDER 16,POOL B,SFS C
BOYS UNDER 18,SINGLE POOL,SOUTHERN FS C
BOYS UNDER 14,POOL A,EP B
BOYS UNDER 14,POOL B,EDEN B
BOYS UNDER 16,POOL A,EP C
BOYS UNDER 16,POOL B,EDEN B
BOYS UNDER 18,SINGLE POOL,EASTERN PROVINCE B
BOYS UNDER 14,POOL A,EDEN B
